socialMedia,time,count
twitter_status,2020-03-11,23
twitter_status,2020-03-05,4
twitter_status,2020-03-10,1
twitter_status,2020-03-06,2
twitter_status,2020-03-04,2
twitter_status,2020-03-08,3
twitter_status,2020-03-07,1
twitter_status,2020-03-21,1
twitter_status,2020-03-17,4
twitter_status,2020-03-15,7
twitter_status,2020-03-13,9
twitter_status,2020-03-26,13
twitter_status,2020-03-23,48
twitter_status,2020-04-07,4
twitter_status,2020-04-06,3
twitter_status,2020-04-01,10
twitter_status,2020-04-05,3
twitter_status,2020-04-02,8
twitter_status,2020-04-03,1
twitter_status,2020-04-14,28
twitter_status,2020-04-16,4
twitter_status,2020-04-15,5
twitter_status,2020-04-09,7
twitter_status,2020-04-10,1
twitter_status,2020-04-24,17
twitter_status,2020-04-20,8
twitter_status,2020-04-19,8
twitter_status,2020-04-28,8
twitter_status,2021-12-12,1247
twitter_status,2021-11-29,13
twitter_status,2021-11-15,2
twitter_status,2020-05-26,2
twitter_status,2020-05-29,1
twitter_status,2020-06-02,5
twitter_status,2020-06-03,2
twitter_status,2020-06-22,2
twitter_status,2020-06-27,2
twitter_status,2020-07-01,4
twitter_status,2020-06-29,1
twitter_status,2020-06-30,1
twitter_status,2020-07-15,130
twitter_status,2020-07-14,21
twitter_status,2020-07-10,3
twitter_status,2020-07-09,3
twitter_status,2020-07-08,4
twitter_status,2020-07-20,3
twitter_status,2020-07-21,1
twitter_status,2020-07-28,1
twitter_status,2020-07-26,3
twitter_status,2020-07-27,1
twitter_status,2020-08-10,27
twitter_status,2020-08-11,4
twitter_status,2020-08-12,1
twitter_status,2020-08-06,1
twitter_status,2020-08-09,2
twitter_status,2020-08-18,1
twitter_status,2020-08-19,9
twitter_status,2020-08-21,3
twitter_status,2020-08-15,1
twitter_status,2020-08-23,29
twitter_status,2020-08-24,7
twitter_status,2020-08-22,5
twitter_status,2020-09-04,2
twitter_status,2020-09-02,1
twitter_status,2020-09-03,1
twitter_status,2020-09-08,1
twitter_status,2020-09-17,4
twitter_status,2020-09-12,1
twitter_status,2020-09-14,1
twitter_status,2020-09-30,1
twitter_status,2020-10-03,1
twitter_status,2020-10-01,1
twitter_status,2020-09-26,1
twitter_status,2020-10-14,2
twitter_status,2020-10-10,21
twitter_status,2020-10-11,2
twitter_status,2020-10-13,1
twitter_status,2020-10-12,1
twitter_status,2020-10-06,7
twitter_status,2020-10-08,1
twitter_status,2020-10-22,2
twitter_status,2020-10-20,8
twitter_status,2020-10-21,3
twitter_status,2020-10-19,31
twitter_status,2020-10-17,3
twitter_status,2020-10-16,1
twitter_status,2020-10-27,4
twitter_status,2020-10-30,2
twitter_status,2020-10-26,12
twitter_status,2020-10-31,1
twitter_status,2020-11-01,1
twitter_status,2020-10-24,1
twitter_status,2020-10-25,6
twitter_status,2020-11-10,1
twitter_status,2020-11-04,3
twitter_status,2020-11-02,5
twitter_status,2020-11-03,1
twitter_status,2020-11-15,6
twitter_status,2020-11-16,7
twitter_status,2020-11-17,5
twitter_status,2020-11-14,1
twitter_status,2020-11-25,15
twitter_status,2020-11-28,1
twitter_status,2020-11-27,2
twitter_status,2020-12-01,1
twitter_status,2020-12-02,2
twitter_status,2020-12-05,1
twitter_status,2020-12-15,4
twitter_status,2020-12-08,2
twitter_status,2020-12-24,6
twitter_status,2020-12-19,4
twitter_status,2020-12-20,1
twitter_status,2020-12-31,1
twitter_status,2020-12-28,1
twitter_status,2019-01-30,29
twitter_status,2019-02-07,11
twitter_status,2019-03-01,20
twitter_status,2019-03-02,16
twitter_status,2019-03-07,20
twitter_status,2019-03-10,34
twitter_status,2019-03-12,338
twitter_status,2019-03-09,16
twitter_status,2019-03-05,12
twitter_status,2019-03-08,18
twitter_status,2019-03-22,20
twitter_status,2019-03-21,114
twitter_status,2019-03-19,40
twitter_status,2019-03-17,101
twitter_status,2019-03-15,37
twitter_status,2019-03-16,33
twitter_status,2019-03-24,85
twitter_status,2019-03-26,3
twitter_status,2019-03-25,10
twitter_status,2019-03-23,12
twitter_status,2019-04-01,26
twitter_status,2019-05-27,20
twitter_status,2019-07-08,24
twitter_status,2019-07-01,17
twitter_status,2019-07-12,7
twitter_status,2019-07-10,7
twitter_status,2019-07-17,4
twitter_status,2019-07-22,11
twitter_status,2019-07-29,9
twitter_status,2019-08-12,12
twitter_status,2019-08-06,5
twitter_status,2019-08-20,9
twitter_status,2019-08-26,14
twitter_status,2019-08-30,6
twitter_status,2019-09-02,85
twitter_status,2019-09-01,208
twitter_status,2019-09-09,4
twitter_status,2019-09-14,29
twitter_status,2019-09-18,9
twitter_status,2019-09-17,12
twitter_status,2019-09-16,37
twitter_status,2019-09-13,13
twitter_status,2019-09-23,10
twitter_status,2019-09-24,6
twitter_status,2019-09-19,11
twitter_status,2019-09-27,10
twitter_status,2019-10-06,14
twitter_status,2019-09-29,17
twitter_status,2019-10-02,4
twitter_status,2019-09-30,5
twitter_status,2019-10-11,30
twitter_status,2019-10-07,47
twitter_status,2019-10-09,14
twitter_status,2019-10-14,11
twitter_status,2019-10-19,25
twitter_status,2019-10-18,24
twitter_status,2019-10-16,54
twitter_status,2019-10-21,18
twitter_status,2019-10-22,8
twitter_status,2019-10-28,9
twitter_status,2019-10-31,19
twitter_status,2019-10-25,13
twitter_status,2019-11-01,12
twitter_status,2019-10-27,49
twitter_status,2019-10-30,10
twitter_status,2019-10-29,5
twitter_status,2019-11-05,12
twitter_status,2019-11-08,24
twitter_status,2019-11-06,11
twitter_status,2019-11-11,9
twitter_status,2019-11-15,39
twitter_status,2019-11-18,17
twitter_status,2019-11-14,12
twitter_status,2019-11-13,13
twitter_status,2019-11-24,6
twitter_status,2019-11-21,6
twitter_status,2019-11-22,2
twitter_status,2019-11-26,9
twitter_status,2019-11-25,4
twitter_status,2019-12-06,60
twitter_status,2019-12-07,27
twitter_status,2019-12-05,21
twitter_status,2019-12-08,8
twitter_status,2019-12-03,12
twitter_status,2019-01-03,6
twitter_status,2019-01-02,2
twitter_status,2019-01-04,6
twitter_status,2019-01-07,1
twitter_status,2019-01-17,4
twitter_status,2019-01-11,2
twitter_status,2019-01-15,4
twitter_status,2019-01-16,1
twitter_status,2019-01-14,1
twitter_status,2019-01-10,1
twitter_status,2019-01-12,1
twitter_status,2019-01-27,22
twitter_status,2019-01-26,9
twitter_status,2019-01-25,21
twitter_status,2019-01-24,2
twitter_status,2019-01-23,7
twitter_status,2019-01-22,73
twitter_status,2019-01-21,2
twitter_status,2019-02-04,7
twitter_status,2019-02-05,3
twitter_status,2019-02-01,1
twitter_status,2019-02-02,1
twitter_status,2019-01-29,62
twitter_status,2019-01-28,3
twitter_status,2019-02-11,36
twitter_status,2019-02-12,2
twitter_status,2019-02-13,1
twitter_status,2019-02-08,2
twitter_status,2019-02-06,21
twitter_status,2019-02-18,37
twitter_status,2019-02-19,7
twitter_status,2019-02-21,5
twitter_status,2019-02-22,2
twitter_status,2019-02-20,1
twitter_status,2019-02-16,2
twitter_status,2019-02-15,1
twitter_status,2019-03-04,17
twitter_status,2019-03-03,4
twitter_status,2019-02-28,5
twitter_status,2019-02-27,17
twitter_status,2019-02-25,1
twitter_status,2019-02-24,1
twitter_status,2019-02-26,1
twitter_status,2019-03-13,58
twitter_status,2019-03-11,37
twitter_status,2019-03-06,16
twitter_status,2019-03-20,5
twitter_status,2019-03-18,29
twitter_status,2019-03-14,26
twitter_status,2019-03-31,6
twitter_status,2019-03-29,1
twitter_status,2019-03-30,5
twitter_status,2019-03-28,1
twitter_status,2019-03-27,2
twitter_status,2019-04-05,2
twitter_status,2019-04-03,17
twitter_status,2019-04-04,4
twitter_status,2019-04-09,3
twitter_status,2019-04-06,1
twitter_status,2019-04-08,1
twitter_status,2019-04-07,2
twitter_status,2019-04-02,78
twitter_status,2019-04-17,17
twitter_status,2019-04-16,1
twitter_status,2019-04-15,3
twitter_status,2019-04-10,5
twitter_status,2019-04-12,1
twitter_status,2019-04-11,1
twitter_status,2019-04-13,1
twitter_status,2019-04-22,8
twitter_status,2019-04-23,2
twitter_status,2019-04-25,3
twitter_status,2019-04-26,6
twitter_status,2019-04-24,5
twitter_status,2019-04-27,1
twitter_status,2019-04-21,5
twitter_status,2019-04-20,1
twitter_status,2019-04-30,7
twitter_status,2019-05-05,3
twitter_status,2019-05-06,4
twitter_status,2019-05-01,4
twitter_status,2019-05-02,1
